Group,type,noun,gender,case,sentence,question,answer_correct,answer_wrong
C,nom_masc_or_neut_u,рандеву,n,nom,"Завтра у меня состоится рандеву, назначенное больше месяца назад.",,,
D,acc_fem,рандеву,f,acc,"Мой молодой человек отменил рандеву, назначенную больше месяца назад.",,,
A,nom_fem_u,фондю,f,nom,"На газовой грелке стоит фондю, радующая гостей этого дома.",,,
B,nom_masc_or_neut_u,фондю,n,nom,"На газовой грелке стоит фондю, радующее гостей этого дома.",,,
C,acc_fem,фондю,f,acc,"В семье фермеров приготовили фондю, радующую гостей этого дома.",,,
D,acc_masc_or_neut,фондю,n,acc,"В семье фермеров приготовили фондю, радующее гостей этого дома.",,,
A,nom_masc_or_neut_u,судоку,n,nom,"На открытом форуме обсуждается судоку, составленное известным японским мастером.",,,
B,acc_fem,судоку,f,acc,"Мы два часа решали судоку, составленную известным японским мастером.",,,
C,acc_masc_or_neut,судоку,n,acc,"Мы два часа решали судоку, составленное известным японским мастером.",,,
D,nom_fem_u,судоку,f,nom,"На открытом форуме обсуждается судоку, составленная известным японским мастером.",,,
A,acc_fem,ушу,f,acc,"Мой любимый учитель преподает ушу, тренирующую основные группы мышц.",,,
B,acc_masc_or_neut,ушу,n,acc,"Мой любимый учитель преподает ушу, тренирующее основные группы мышц.",,,
C,nom_fem_u,ушу,f,nom,"Взрослым и детям нравится ушу, тренирующая основные группы мышц.",,,
D,nom_masc_or_neut_u,ушу,n,nom,"Взрослым и детям нравится ушу, тренирующее основные группы мышц.",,,
A,acc_masc_or_neut,рагу,n,acc,"У плиты бабушка помешивает рагу, источающее приятный сладкий аромат.",,,
B,nom_fem_u,рагу,f,nom,"На плите давно кипит рагу, источающая приятный сладкий аромат.",,,
C,nom_masc_or_neut_u,рагу,n,nom,"На плите давно кипит рагу, источающее приятный сладкий аромат.",,,
D,acc_fem,рагу,f,acc,"У плиты бабушка помешивает рагу, источающую приятный сладкий аромат.",,,
A,nom_fem_e,пенсне,f,nom,"На носу профессора болтается пенсне, сверкающая тонкими стеклянными линзами.",На чьём носу болтается пенсне?,профессора,доктора
B,nom_masc_or_neut_e,пенсне,n,nom,"На носу профессора болтается пенсне, сверкающее тонкими стеклянными линзами.",На чьём носу болтается пенсне?,профессора,доктора
C,dat_fem,пенсне,f,dat,"Кашемировый шарф подходит к пенсне, сверкающей тонкими стеклянными линзами.",Что подходит к пенсне?,шарф,платок
D,dat_masc_or_neut,пенсне,n,dat,"Кашемировый шарф подходит к пенсне, сверкающему тонкими стеклянными линзами.",Что подходит к пенсне?,шарф,платок
A,nom_masc_or_neut_e,суфле,n,nom,"За завтраком гостей радует суфле, приготовленное заботливой хозяйкой гостиницы.",Что приготовила заботливая хозяйка?,суфле,кофе
B,dat_fem,суфле,f,dat,"Гости остались равнодушны к суфле, приготовленной заботливой хозяйкой гостиницы.",Что приготовила заботливая хозяйка?,суфле,кофе
C,dat_masc_or_neut,суфле,n,dat,"Гости остались равнодушны к суфле, приготовленному заботливой хозяйкой гостиницы.",Что приготовила заботливая хозяйка?,суфле,кофе
D,nom_fem_e,суфле,f,nom,"За завтраком гостей радует суфле, приготовленная заботливой хозяйкой гостиницы.",Что приготовила заботливая хозяйка?,суфле,кофе
A,dat_fem,филе,f,dat,"Критик едва притронулся к филе, подготовленной лучшим мясником города.",,,
B,dat_masc_or_neut,филе,n,dat,"Критик едва притронулся к филе, подготовленному лучшим мясником города.",,,
C,nom_fem_e,филе,f,nom,"На разделочной доске лежит филе, подготовленная лучшим мясником города.",,,
D,nom_masc_or_neut_e,филе,n,nom,"На разделочной доске лежит филе, подготовленное лучшим мясником города.",,,
A,dat_masc_or_neut,декольте,n,dat,"Мама плохо отнеслась к декольте, привлекающему внимание всех окружающих.",Что привлекает внимание?,декольте,перчатки
B,nom_fem_e,декольте,f,nom,"Маму Ани сильно беспокоит декольте, привлекающая внимание всех окружающих.",Что привлекает внимание?,декольте,перчатки
C,nom_masc_or_neut_e,декольте,n,nom,"Маму Ани сильно беспокоит декольте, привлекающее внимание всех окружающих.",Что привлекает внимание?,декольте,перчатки
D,dat_fem,декольте,f,dat,"Мама плохо отнеслась к декольте, привлекающей внимание всех окружающих.",Что привлекает внимание?,декольте,перчатки
A,nom_fem_e,желе,f,nom,"На обеденном столе стоит желе, содержащая яркие ненатуральные красители.",,,
B,nom_masc_or_neut_e,желе,n,nom,"На обеденном столе стоит желе, содержащее яркие ненатуральные красители.",,,
C,dat_fem,желе,f,dat,"Гости не притронулись к желе, содержащей яркие ненатуральные красители.",,,
D,dat_masc_or_neut,желе,n,dat,"Гости не притронулись к желе, содержащему яркие ненатуральные красители.",,,
A,nom_masc_or_neut_e,эссе,n,nom,"Студентам очень не нравится эссе, впечатляющее многих современных философов.",,,
B,dat_fem,эссе,f,dat,"Студенты собрали претензии к эссе, впечатляющей многих современных философов.",,,
C,dat_masc_or_neut,эссе,n,dat,"Студенты собрали претензии к эссе, впечатляющему многих современных философов.",,,
D,nom_fem_e,эссе,f,nom,"Студентам очень не нравится эссе, впечатляющая многих современных философов.",,,
A,dat_fem,кашне,f,dat,"Эта рубашка подходит к кашне, закрывающей шею холодной зимой.",,,
B,dat_masc_or_neut,кашне,n,dat,"Эта рубашка подходит к кашне, закрывающему шею холодной зимой.",,,
C,nom_fem_e,кашне,f,nom,"С рубашкой отлично смотрится кашне, закрывающая шею холодной зимой.",,,
D,nom_masc_or_neut_e,кашне,n,nom,"С рубашкой отлично смотрится кашне, закрывающее шею холодной зимой.",,,
A,dat_masc_or_neut,каркаде,m,dat,"Гости быстро согрелись благодаря каркаде, источающему тонкий фруктовый аромат.",,,
B,nom_fem_e,каркаде,f,nom,"В стеклянном чайнике кипит каркаде, источающая тонкий фруктовый аромат.",,,
C,nom_masc_or_neut_e,каркаде,m,nom,"В стеклянном чайнике кипит каркаде, источающий тонкий фруктовый аромат.",,,
D,dat_fem,каркаде,f,dat,"Гости быстро согрелись благодаря каркаде, источающей тонкий фруктовый аромат.",,,
A,nom_fem_e,маскарпоне,f,nom,"Обычного покупателя искренне удивляет маскарпоне, напоминающая пресную творожную массу.",,,
B,nom_masc_or_neut_e,маскарпоне,m,nom,"Обычного покупателя искренне удивляет маскарпоне, напоминающий пресную творожную массу.",,,
C,dat_fem,маскарпоне,f,dat,"Покупатели редко подходят к маскарпоне, напоминающей пресную творожную массу.",,,
D,dat_masc_or_neut,маскарпоне,m,dat,"Покупатели редко подходят к маскарпоне, напоминающему пресную творожную массу.",,,
A,nom_masc_or_neut_e,дефиле,n,nom,"В Милане ежегодно проходит дефиле, привлекающее внимание модных журналов.",,,
B,dat_fem,дефиле,f,dat,"Много модельеров подготовилось к дефиле, привлекающей внимание модных журналов.",,,
C,dat_masc_or_neut,дефиле,n,dat,"Много модельеров подготовилось к дефиле, привлекающему внимание модных журналов.",,,
D,nom_fem_e,дефиле,f,nom,"В Милане ежегодно проходит дефиле, привлекающая внимание модных журналов.",,,
A,dat_fem,пюре,f,dat,"Дети не притронулись к пюре, содержащей комки разных размеров.",Что содержит комки?,пюре,каша
B,dat_masc_or_neut,пюре,n,dat,"Дети не притронулись к пюре, содержащему комки разных размеров.",Что содержит комки?,пюре,каша
C,nom_fem_e,пюре,f,nom,"У плохого повара получается пюре, содержащая комки разных размеров.",Что содержит комки?,пюре,каша
D,nom_masc_or_neut_e,пюре,n,nom,"У плохого повара получается пюре, содержащее комки разных размеров.",Что содержит комки?,пюре,каша
A,dat_masc_or_neut,портмоне,n,dat,"Ловкий воришка потянулся к портмоне, лежавшему поверх важных документов.",,,
B,nom_fem_e,портмоне,f,nom,"Ловкого воришку давно манит портмоне, лежавшая поверх важных документов.",,,
C,nom_masc_or_neut_e,портмоне,n,nom,"Ловкого воришку давно манит портмоне, лежавшее поверх важных документов.",,,
D,dat_fem,портмоне,f,dat,"Ловкий воришка потянулся к портмоне, лежавшей поверх важных документов.",,,
A,filler,filler,filler,filler,Поездки на городском транспорте расшатывают нервную систему.,Что вредит нервной системе?,городской транспорт,плохой климат
A,filler,filler,filler,filler,Коллекционер передал музею собрание редкого фарфора.,Куда было передано собрание фарфора?,в музей,в галерею
A,filler,filler,filler,filler,Турнир по теннису проходил в старом парке.,Где проходил турнир по теннису?,в парке,на стадионе
A,filler,filler,filler,filler,Возле живописного озера открылась уютная гостиница.,Где расположена гостиница?,у озера,у моря
A,filler,filler,filler,filler,Стол в кабинете был сделан из красного дерева.,Где стоял стол из красного дерева?,в кабинете,в приемной
A,filler,filler,filler,filler,Выписка из домовой книги необходима для получения субсидии.,Для чего нужна выписка?,для субсидии,для стипендии
A,filler,filler,filler,filler,Дополнительные занятия по математике проводились в вечерние часы.,Занятия по какому предмету проводились по вечерам?,по математике,по физике
A,filler,filler,filler,filler,Сигары из кубинского табака считаются самыми лучшими.,Из какого табака лучшие сигары?,кубинского,грузинского
A,filler,filler,filler,filler,Стрельба из пистолета был разрешен после медицинского осмотра.,Из чего нельзя стрелять без прохождения осмотра?,из пистолета,из карабина
A,filler,filler,filler,filler,Тетушка подала на обед жаркое из свинины.,Из чего приготовлено жаркое?,из свинины,из баранины
A,filler,filler,filler,filler,Акция от турфирмы была отменена из-за больших убытков.,Из-за чего пришлось отменить акцию?,из-за убытков,из-за жалоб
A,filler,filler,filler,filler,Обида на учительницу был забыт по прошествии месяца.,Как долго держалась обида?,месяц,неделю
A,filler,filler,filler,filler,Доска для плаката был прибит к стене коридора.,Как доску прикрепили к стене?,прибили,привинтили
A,filler,filler,filler,filler,Цена на нефть была повышена в результате торгов.,Как изменилась цена на нефть?,выросла,упала
A,filler,filler,filler,filler,Цитата из сонета был приведен в качестве эпиграфа.,Какая цитата послужила эпиграфом?,из сонета,из поэмы
A,filler,filler,filler,filler,Масло шиповника применяют при различных заболеваниях кожи.,Каким маслом лечат кожные заболевания?,шиповника,оливковым
A,filler,filler,filler,filler,Реакция на упрек был незначителен из-за усталости собеседника.,Какова была реакция на упрек?,незначительная,бурная
A,filler,filler,filler,filler,Накладная на груз был оформлен с нарушением правил.,Какой документ оформили с нарушениями?,накладную,доверенность
A,filler,filler,filler,filler,Песня под гармонь была исполнена к неудовольствию хозяйки.,Какой инструмент аккомпанировал песне?,гармонь,гитара
A,filler,filler,filler,filler,Отдых на горнолыжных курортах становится всё популярнее.,Какой отдых становится популярным?,горнолыжный,экзотический
A,filler,filler,filler,filler,В начале июня ледяные шапки гор начали таять.,Когда начали таять ледяные шапки?,в июне,в апреле
A,filler,filler,filler,filler,Карета для губернатора была подана к парадному подъезду.,Кого ожидала карета у парадного подъезда?,губернатора,герцогиню
A,filler,filler,filler,filler,Российская фигуристка завоевала золотую медаль на Олимпиаде.,Кому досталась золотая медаль?,фигуристке,гимнастке
A,filler,filler,filler,filler,Прививка от краснухи была назначена всем младенцам сразу.,Кому назначили прививку?,младенцам,школьникам
B,filler,filler,filler,filler,Поездки на городском транспорте расшатывают нервную систему.,Что вредит нервной системе?,городской транспорт,плохой климат
B,filler,filler,filler,filler,Коллекционер передал музею собрание редкого фарфора.,Куда было передано собрание фарфора?,в музей,в галерею
B,filler,filler,filler,filler,Турнир по теннису проходил в старом парке.,Где проходил турнир по теннису?,в парке,на стадионе
B,filler,filler,filler,filler,Возле живописного озера открылась уютная гостиница.,Где расположена гостиница?,у озера,у моря
B,filler,filler,filler,filler,Стол в кабинете был сделан из красного дерева.,Где стоял стол из красного дерева?,в кабинете,в приемной
B,filler,filler,filler,filler,Выписка из домовой книги необходима для получения субсидии.,Для чего нужна выписка?,для субсидии,для стипендии
B,filler,filler,filler,filler,Дополнительные занятия по математике проводились в вечерние часы.,Занятия по какому предмету проводились по вечерам?,по математике,по физике
B,filler,filler,filler,filler,Сигары из кубинского табака считаются самыми лучшими.,Из какого табака лучшие сигары?,кубинского,грузинского
B,filler,filler,filler,filler,Стрельба из пистолета был разрешен после медицинского осмотра.,Из чего нельзя стрелять без прохождения осмотра?,из пистолета,из карабина
B,filler,filler,filler,filler,Тетушка подала на обед жаркое из свинины.,Из чего приготовлено жаркое?,из свинины,из баранины
B,filler,filler,filler,filler,Акция от турфирмы была отменена из-за больших убытков.,Из-за чего пришлось отменить акцию?,из-за убытков,из-за жалоб
B,filler,filler,filler,filler,Обида на учительницу был забыт по прошествии месяца.,Как долго держалась обида?,месяц,неделю
B,filler,filler,filler,filler,Доска для плаката был прибит к стене коридора.,Как доску прикрепили к стене?,прибили,привинтили
B,filler,filler,filler,filler,Цена на нефть была повышена в результате торгов.,Как изменилась цена на нефть?,выросла,упала
B,filler,filler,filler,filler,Цитата из сонета был приведен в качестве эпиграфа.,Какая цитата послужила эпиграфом?,из сонета,из поэмы
B,filler,filler,filler,filler,Масло шиповника применяют при различных заболеваниях кожи.,Каким маслом лечат кожные заболевания?,шиповника,оливковым
B,filler,filler,filler,filler,Реакция на упрек был незначителен из-за усталости собеседника.,Какова была реакция на упрек?,незначительная,бурная
B,filler,filler,filler,filler,Накладная на груз был оформлен с нарушением правил.,Какой документ оформили с нарушениями?,накладную,доверенность
B,filler,filler,filler,filler,Песня под гармонь была исполнена к неудовольствию хозяйки.,Какой инструмент аккомпанировал песне?,гармонь,гитара
B,filler,filler,filler,filler,Отдых на горнолыжных курортах становится всё популярнее.,Какой отдых становится популярным?,горнолыжный,экзотический
B,filler,filler,filler,filler,В начале июня ледяные шапки гор начали таять.,Когда начали таять ледяные шапки?,в июне,в апреле
B,filler,filler,filler,filler,Карета для губернатора была подана к парадному подъезду.,Кого ожидала карета у парадного подъезда?,губернатора,герцогиню
B,filler,filler,filler,filler,Российская фигуристка завоевала золотую медаль на Олимпиаде.,Кому досталась золотая медаль?,фигуристке,гимнастке
B,filler,filler,filler,filler,Прививка от краснухи была назначена всем младенцам сразу.,Кому назначили прививку?,младенцам,школьникам
C,filler,filler,filler,filler,Поездки на городском транспорте расшатывают нервную систему.,Что вредит нервной системе?,городской транспорт,плохой климат
C,filler,filler,filler,filler,Коллекционер передал музею собрание редкого фарфора.,Куда было передано собрание фарфора?,в музей,в галерею
C,filler,filler,filler,filler,Турнир по теннису проходил в старом парке.,Где проходил турнир по теннису?,в парке,на стадионе
C,filler,filler,filler,filler,Возле живописного озера открылась уютная гостиница.,Где расположена гостиница?,у озера,у моря
C,filler,filler,filler,filler,Стол в кабинете был сделан из красного дерева.,Где стоял стол из красного дерева?,в кабинете,в приемной
C,filler,filler,filler,filler,Выписка из домовой книги необходима для получения субсидии.,Для чего нужна выписка?,для субсидии,для стипендии
C,filler,filler,filler,filler,Дополнительные занятия по математике проводились в вечерние часы.,Занятия по какому предмету проводились по вечерам?,по математике,по физике
C,filler,filler,filler,filler,Сигары из кубинского табака считаются самыми лучшими.,Из какого табака лучшие сигары?,кубинского,грузинского
C,filler,filler,filler,filler,Стрельба из пистолета был разрешен после медицинского осмотра.,Из чего нельзя стрелять без прохождения осмотра?,из пистолета,из карабина
C,filler,filler,filler,filler,Тетушка подала на обед жаркое из свинины.,Из чего приготовлено жаркое?,из свинины,из баранины
C,filler,filler,filler,filler,Акция от турфирмы была отменена из-за больших убытков.,Из-за чего пришлось отменить акцию?,из-за убытков,из-за жалоб
C,filler,filler,filler,filler,Обида на учительницу был забыт по прошествии месяца.,Как долго держалась обида?,месяц,неделю
C,filler,filler,filler,filler,Доска для плаката был прибит к стене коридора.,Как доску прикрепили к стене?,прибили,привинтили
C,filler,filler,filler,filler,Цена на нефть была повышена в результате торгов.,Как изменилась цена на нефть?,выросла,упала
C,filler,filler,filler,filler,Цитата из сонета был приведен в качестве эпиграфа.,Какая цитата послужила эпиграфом?,из сонета,из поэмы
C,filler,filler,filler,filler,Масло шиповника применяют при различных заболеваниях кожи.,Каким маслом лечат кожные заболевания?,шиповника,оливковым
C,filler,filler,filler,filler,Реакция на упрек был незначителен из-за усталости собеседника.,Какова была реакция на упрек?,незначительная,бурная
C,filler,filler,filler,filler,Накладная на груз был оформлен с нарушением правил.,Какой документ оформили с нарушениями?,накладную,доверенность
C,filler,filler,filler,filler,Песня под гармонь была исполнена к неудовольствию хозяйки.,Какой инструмент аккомпанировал песне?,гармонь,гитара
C,filler,filler,filler,filler,Отдых на горнолыжных курортах становится всё популярнее.,Какой отдых становится популярным?,горнолыжный,экзотический
C,filler,filler,filler,filler,В начале июня ледяные шапки гор начали таять.,Когда начали таять ледяные шапки?,в июне,в апреле
C,filler,filler,filler,filler,Карета для губернатора была подана к парадному подъезду.,Кого ожидала карета у парадного подъезда?,губернатора,герцогиню
C,filler,filler,filler,filler,Российская фигуристка завоевала золотую медаль на Олимпиаде.,Кому досталась золотая медаль?,фигуристке,гимнастке
C,filler,filler,filler,filler,Прививка от краснухи была назначена всем младенцам сразу.,Кому назначили прививку?,младенцам,школьникам
D,filler,filler,filler,filler,Поездки на городском транспорте расшатывают нервную систему.,Что вредит нервной системе?,городской транспорт,плохой климат
D,filler,filler,filler,filler,Коллекционер передал музею собрание редкого фарфора.,Куда было передано собрание фарфора?,в музей,в галерею
D,filler,filler,filler,filler,Турнир по теннису проходил в старом парке.,Где проходил турнир по теннису?,в парке,на стадионе
D,filler,filler,filler,filler,Возле живописного озера открылась уютная гостиница.,Где расположена гостиница?,у озера,у моря
D,filler,filler,filler,filler,Стол в кабинете был сделан из красного дерева.,Где стоял стол из красного дерева?,в кабинете,в приемной
D,filler,filler,filler,filler,Выписка из домовой книги необходима для получения субсидии.,Для чего нужна выписка?,для субсидии,для стипендии
D,filler,filler,filler,filler,Дополнительные занятия по математике проводились в вечерние часы.,Занятия по какому предмету проводились по вечерам?,по математике,по физике
D,filler,filler,filler,filler,Сигары из кубинского табака считаются самыми лучшими.,Из какого табака лучшие сигары?,кубинского,грузинского
D,filler,filler,filler,filler,Стрельба из пистолета был разрешен после медицинского осмотра.,Из чего нельзя стрелять без прохождения осмотра?,из пистолета,из карабина
D,filler,filler,filler,filler,Тетушка подала на обед жаркое из свинины.,Из чего приготовлено жаркое?,из свинины,из баранины
D,filler,filler,filler,filler,Акция от турфирмы была отменена из-за больших убытков.,Из-за чего пришлось отменить акцию?,из-за убытков,из-за жалоб
D,filler,filler,filler,filler,Обида на учительницу был забыт по прошествии месяца.,Как долго держалась обида?,месяц,неделю
D,filler,filler,filler,filler,Доска для плаката был прибит к стене коридора.,Как доску прикрепили к стене?,прибили,привинтили
D,filler,filler,filler,filler,Цена на нефть была повышена в результате торгов.,Как изменилась цена на нефть?,выросла,упала
D,filler,filler,filler,filler,Цитата из сонета был приведен в качестве эпиграфа.,Какая цитата послужила эпиграфом?,из сонета,из поэмы
D,filler,filler,filler,filler,Масло шиповника применяют при различных заболеваниях кожи.,Каким маслом лечат кожные заболевания?,шиповника,оливковым
D,filler,filler,filler,filler,Реакция на упрек был незначителен из-за усталости собеседника.,Какова была реакция на упрек?,незначительная,бурная
D,filler,filler,filler,filler,Накладная на груз был оформлен с нарушением правил.,Какой документ оформили с нарушениями?,накладную,доверенность
D,filler,filler,filler,filler,Песня под гармонь была исполнена к неудовольствию хозяйки.,Какой инструмент аккомпанировал песне?,гармонь,гитара
D,filler,filler,filler,filler,Отдых на горнолыжных курортах становится всё популярнее.,Какой отдых становится популярным?,горнолыжный,экзотический
D,filler,filler,filler,filler,В начале июня ледяные шапки гор начали таять.,Когда начали таять ледяные шапки?,в июне,в апреле
D,filler,filler,filler,filler,Карета для губернатора была подана к парадному подъезду.,Кого ожидала карета у парадного подъезда?,губернатора,герцогиню
D,filler,filler,filler,filler,Российская фигуристка завоевала золотую медаль на Олимпиаде.,Кому досталась золотая медаль?,фигуристке,гимнастке
D,filler,filler,filler,filler,Прививка от краснухи была назначена всем младенцам сразу.,Кому назначили прививку?,младенцам,школьникам
